ts_event,side,size,price,symbol,range
2022-09-02,N,24512377890.0,110.21648508634229,GOOGL,above_mean_range
2022-09-06,B,33854196756.0,106.86323416758636,GOOGL,mean_range
2022-09-06,B,9872586472.0,106.1450323857516,GOOGL,below_mean_range
2022-09-06,B,7890253528.0,107.5412989644301,GOOGL,above_mean_range
2022-09-06,A,56391206651.0,106.88460777640083,GOOGL,mean_range
2022-09-06,A,16156612485.0,106.10868064290787,GOOGL,below_mean_range
2022-09-06,A,11161724041.0,107.54403803358262,GOOGL,above_mean_range
2022-09-06,N,40683703212.0,106.89397723777365,GOOGL,mean_range
2022-09-06,N,11896844208.0,106.15729312762893,GOOGL,below_mean_range
2022-09-06,N,9127031952.0,107.62963893967093,GOOGL,above_mean_range
2022-09-07,B,15841917872.0,108.3815684068408,GOOGL,mean_range
2022-09-07,B,19559991756.0,107.5306943685081,GOOGL,below_mean_range
2022-09-07,B,15392754584.0,109.52632468735365,GOOGL,above_mean_range
2022-09-07,A,14617652262.0,108.40568715218976,GOOGL,mean_range
2022-09-07,A,19369361871.0,107.55557016342654,GOOGL,below_mean_range
2022-09-07,A,16278186435.0,109.54621727322181,GOOGL,above_mean_range
2022-09-07,N,11265825200.0,108.40683970588253,GOOGL,mean_range
2022-09-07,N,15172415762.0,107.55275278445016,GOOGL,below_mean_range
2022-09-07,N,14811246660.0,109.58126621923931,GOOGL,above_mean_range
2022-09-08,B,32759983935.0,108.22859079903219,GOOGL,mean_range
2022-09-08,B,6236471518.0,107.57078292820762,GOOGL,below_mean_range
2022-09-08,B,8404606048.0,109.1116799496643,GOOGL,above_mean_range
2022-09-08,A,48564149760.0,108.21594574652246,GOOGL,mean_range
2022-09-08,A,8020251295.0,107.59167148488758,GOOGL,below_mean_range
2022-09-08,A,12461425928.0,109.15156799729186,GOOGL,above_mean_range
2022-09-08,N,47567585284.0,108.26327410349761,GOOGL,mean_range
2022-09-08,N,11123276868.0,107.61027318640997,GOOGL,below_mean_range
2022-09-08,N,13411260356.0,109.13765041888776,GOOGL,above_mean_range
2022-09-09,N,57340313372.0,110.37428420775083,GOOGL,mean_range
2022-09-09,N,12332022313.0,109.58479160281904,GOOGL,below_mean_range
2022-09-09,N,6405999945.0,110.84972861356981,GOOGL,above_mean_range
2022-09-09,A,42990029761.0,110.38665062829475,GOOGL,mean_range
2022-09-09,A,10033082108.0,109.56256805444387,GOOGL,below_mean_range
2022-09-09,A,5319782727.0,110.85375235937929,GOOGL,above_mean_range
2022-09-09,B,38591548515.0,110.44412239779159,GOOGL,mean_range
2022-09-09,B,6852976260.0,109.58129943502833,GOOGL,below_mean_range
2022-09-09,B,2977366522.0,110.89243823147,GOOGL,above_mean_range
2022-09-12,N,42162203148.0,110.73212358731709,GOOGL,mean_range
2022-09-12,N,4065586122.0,110.1596975425329,GOOGL,below_mean_range
2022-09-12,N,4346103879.0,111.41341732979657,GOOGL,above_mean_range
2022-09-12,B,26522621466.0,110.68634769738574,GOOGL,mean_range
2022-09-12,B,2557597812.0,110.14615112160656,GOOGL,below_mean_range
2022-09-12,B,4090042782.0,111.39130306386122,GOOGL,above_mean_range
2022-09-12,A,34424278900.0,110.6352299205625,GOOGL,mean_range
2022-09-12,A,2869702685.0,110.08777130757048,GOOGL,below_mean_range
2022-09-12,A,4555975835.0,111.34727242414141,GOOGL,above_mean_range
2022-09-13,A,81875067771.0,105.68549784724996,GOOGL,mean_range
2022-09-13,A,55147610715.0,104.71153296861611,GOOGL,below_mean_range
2022-09-13,A,26787797085.0,106.67877059869357,GOOGL,above_mean_range
2022-09-13,B,48282927870.0,105.76034923117143,GOOGL,mean_range
2022-09-13,B,25554592108.0,104.68071006499754,GOOGL,below_mean_range
2022-09-13,B,12452641496.0,106.72908245755917,GOOGL,above_mean_range
2022-09-13,N,37134746740.0,105.89007656278145,GOOGL,mean_range
2022-09-13,N,32819864440.0,104.96575010191658,GOOGL,below_mean_range
2022-09-13,N,15386402000.0,106.83713913043499,GOOGL,above_mean_range
2022-09-14,N,37509474645.0,104.50534872342233,GOOGL,mean_range
2022-09-14,N,2232349305.0,103.90677130044841,GOOGL,below_mean_range
2022-09-14,N,4197751010.0,105.12461049284586,GOOGL,above_mean_range
2022-09-14,B,55446560792.0,104.48220213829971,GOOGL,mean_range
2022-09-14,B,3639999972.0,103.90514938488603,GOOGL,below_mean_range
2022-09-14,B,6672267084.0,105.10534356024185,GOOGL,above_mean_range
2022-09-14,A,67008536881.0,104.39322079332264,GOOGL,mean_range
2022-09-14,A,3819834480.0,103.82399404761921,GOOGL,below_mean_range
2022-09-14,A,9524575379.0,105.0607997135361,GOOGL,above_mean_range
2022-09-15,B,40443618150.0,103.38625115055886,GOOGL,mean_range
2022-09-15,B,28980604485.0,102.80441049637426,GOOGL,below_mean_range
2022-09-15,B,19251268600.0,104.491643646409,GOOGL,above_mean_range
2022-09-15,A,62617711640.0,103.3227187158984,GOOGL,mean_range
2022-09-15,A,32182975385.0,102.74680084933235,GOOGL,below_mean_range
2022-09-15,A,25249812060.0,104.47575890843443,GOOGL,above_mean_range
2022-09-15,N,22553593360.0,103.39531625988349,GOOGL,mean_range
2022-09-15,N,14455543080.0,102.8027420219898,GOOGL,below_mean_range
2022-09-15,N,9962656400.0,104.53871984435796,GOOGL,above_mean_range
2022-09-16,N,137095518951.0,102.03968455063483,GOOGL,mean_range
2022-09-16,N,27824760117.0,101.45077712609984,GOOGL,below_mean_range
2022-09-16,N,48329055486.0,102.84596719729869,GOOGL,above_mean_range
2022-09-16,A,58184116224.0,102.0272383210403,GOOGL,mean_range
2022-09-16,A,19208217856.0,101.30758212528275,GOOGL,below_mean_range
2022-09-16,A,26062274048.0,102.8189051166453,GOOGL,above_mean_range
2022-09-16,B,58044433734.0,102.11314249013826,GOOGL,mean_range
2022-09-16,B,16344468954.0,101.44981753014186,GOOGL,below_mean_range
2022-09-16,B,24434155608.0,102.85722755013228,GOOGL,above_mean_range
2022-09-19,B,23294109689.0,102.23910537996404,GOOGL,mean_range
2022-09-19,B,5679577062.0,101.74887633396082,GOOGL,below_mean_range
2022-09-19,B,8966815010.0,103.10973359841124,GOOGL,above_mean_range
2022-09-19,A,18875858550.0,102.18598093364275,GOOGL,mean_range
2022-09-19,A,3893136900.0,101.71294570799708,GOOGL,below_mean_range
2022-09-19,A,6379546050.0,103.09676292814046,GOOGL,above_mean_range
2022-09-19,N,22330656428.0,102.20189514890968,GOOGL,mean_range
2022-09-19,N,5560381444.0,101.70286066584558,GOOGL,below_mean_range
2022-09-19,N,8069752108.0,103.10145497026303,GOOGL,above_mean_range
2022-09-20,N,26530297870.0,101.58962658007621,GOOGL,mean_range
2022-09-20,N,4848863440.0,100.89616116751287,GOOGL,below_mean_range
2022-09-20,N,4045847350.0,102.25430038022839,GOOGL,above_mean_range
2022-09-20,B,31424327412.0,101.57434790089268,GOOGL,mean_range
2022-09-20,B,4750775812.0,100.9027465857361,GOOGL,below_mean_range
2022-09-20,B,3577499995.0,102.14174307304722,GOOGL,above_mean_range
2022-09-20,A,45722817252.0,101.45411767305725,GOOGL,mean_range
2022-09-20,A,6051371004.0,100.79535404141544,GOOGL,below_mean_range
2022-09-20,A,7482356532.0,102.11186655861773,GOOGL,above_mean_range
2022-09-21,B,19897918336.0,101.11366000791072,GOOGL,mean_range
2022-09-21,B,13760496729.0,99.88869154869147,GOOGL,below_mean_range
2022-09-21,B,18571652814.0,101.75601504556018,GOOGL,above_mean_range
2022-09-21,N,16026852320.0,100.89721580188652,GOOGL,mean_range
2022-09-21,N,13293971606.0,99.81374751208341,GOOGL,below_mean_range
2022-09-21,N,21802567024.0,101.61160280859976,GOOGL,above_mean_range
2022-09-21,A,25464554027.0,100.60184962241296,GOOGL,mean_range
2022-09-21,A,54161994414.0,99.78270402387486,GOOGL,below_mean_range
2022-09-21,A,42509668663.0,101.47467580148052,GOOGL,above_mean_range
2022-09-22,A,68399336066.0,100.10052116073305,GOOGL,mean_range
2022-09-22,A,9364224578.0,99.3170128136676,GOOGL,below_mean_range
2022-09-22,A,15468719084.0,100.84128797673102,GOOGL,above_mean_range
2022-09-22,N,47189552280.0,100.08447457627118,GOOGL,mean_range
2022-09-22,N,8744730592.0,99.28691135084453,GOOGL,below_mean_range
2022-09-22,N,12169613352.0,100.84292214357899,GOOGL,above_mean_range
2022-09-22,B,60953323410.0,100.10944720689669,GOOGL,mean_range
2022-09-22,B,8249606820.0,99.37347876004631,GOOGL,below_mean_range
2022-09-22,B,13094238150.0,100.85836708860899,GOOGL,above_mean_range
2022-09-23,A,64304597785.0,98.47258924893018,GOOGL,mean_range
2022-09-23,A,14364050069.0,97.72739560623828,GOOGL,below_mean_range
2022-09-23,A,17584699900.0,99.17367534246807,GOOGL,above_mean_range
2022-09-23,B,60244570206.0,98.6182548453277,GOOGL,mean_range
2022-09-23,B,13348173222.0,97.809212167013,GOOGL,below_mean_range
2022-09-23,B,12324300498.0,99.25812563945124,GOOGL,above_mean_range
2022-09-23,N,53166549195.0,98.66462190812697,GOOGL,mean_range
2022-09-23,N,12449363934.0,97.80748155600325,GOOGL,below_mean_range
2022-09-23,N,9769118580.0,99.37177564102632,GOOGL,above_mean_range
2022-09-26,A,39519207558.0,98.5495250174049,GOOGL,mean_range
2022-09-26,A,8070519558.0,98.02390404286542,GOOGL,below_mean_range
2022-09-26,A,12133296939.0,99.4276300016205,GOOGL,above_mean_range
2022-09-26,N,44005840000.0,98.49771499999962,GOOGL,mean_range
2022-09-26,N,6490861400.0,97.99565423728818,GOOGL,below_mean_range
2022-09-26,N,10671416200.0,99.39369072164921,GOOGL,above_mean_range
2022-09-26,B,42617049400.0,98.57037817258563,GOOGL,mean_range
2022-09-26,B,8162138446.0,98.05407633183106,GOOGL,below_mean_range
2022-09-26,B,11772689484.0,99.46515435501617,GOOGL,above_mean_range
2022-09-27,N,7884331110.0,98.45448348348351,GOOGL,mean_range
2022-09-27,N,31527853772.0,97.30935941724336,GOOGL,below_mean_range
2022-09-27,N,24780002822.0,99.2922530097456,GOOGL,above_mean_range
2022-09-27,A,11433605995.0,97.96647682119355,GOOGL,mean_range
2022-09-27,A,32998446971.0,97.24718874975541,GOOGL,below_mean_range
2022-09-27,A,20961250423.0,99.03686138920466,GOOGL,above_mean_range
2022-09-27,B,6865408332.0,98.33175316837641,GOOGL,mean_range
2022-09-27,B,28284073614.0,97.31797114187532,GOOGL,below_mean_range
2022-09-27,B,21062343546.0,99.15178912166814,GOOGL,above_mean_range
2022-09-28,B,18754817835.0,98.8527861507131,GOOGL,mean_range
2022-09-28,B,30048452200.0,97.84502372881323,GOOGL,below_mean_range
2022-09-28,B,27988350689.0,99.80406423437572,GOOGL,above_mean_range
2022-09-28,N,28811270586.0,98.55163511187574,GOOGL,mean_range
2022-09-28,N,46542918060.0,97.6658417047193,GOOGL,below_mean_range
2022-09-28,N,30830255616.0,99.63787913602953,GOOGL,above_mean_range
2022-09-28,A,14076813320.0,98.68942780107696,GOOGL,mean_range
2022-09-28,A,28381352200.0,97.75815824665187,GOOGL,below_mean_range
2022-09-28,A,18017730650.0,99.71362551199708,GOOGL,above_mean_range
2022-09-29,A,34343566370.0,96.81677631199898,GOOGL,mean_range
2022-09-29,A,14491999750.0,96.20610784982864,GOOGL,below_mean_range
2022-09-29,A,13564116080.0,97.63853558926297,GOOGL,above_mean_range
2022-09-29,B,33963156868.0,96.84676089876497,GOOGL,mean_range
2022-09-29,B,11556763538.0,96.28001614929167,GOOGL,below_mean_range
